Grisha;B@abc.com;75;Middle manager;
Joshua;D@abc.com;85;Middle manager;
Paul;C@abc.com;12;Middle manager;
Olivia;A@abc.com;23;Top manager;
Joshua;E@abc.com;90;First-line manager;
Olivia;B@abc.com;98;Middle manager;
Isabella;D@abc.com;60;Top manager;
Emma;C@abc.com;48;Top manager;
Matthew;C@abc.com;20;Top manager;
Paul;A@abc.com;0;Middle manager;
Richard;F@abc.com;13;First-line manager;
Joshua;E@abc.com;32;Middle manager;
Olivia;F@abc.com;13;Middle manager;
Olivia;A@abc.com;90;Middle manager;
Mia;E@abc.com;83;Middle manager;
Emma;A@abc.com;53;Middle manager;
Paul;F@abc.com;97;First-line manager;
Matthew;F@abc.com;72;Middle manager;
Mia;C@abc.com;94;Middle manager;
Richard;A@abc.com;9;Top manager;
Mia;A@abc.com;12;Top manager;
Isabella;E@abc.com;26;First-line manager;
Emma;D@abc.com;10;First-line manager;
Emma;F@abc.com;47;Middle manager;
Isabella;A@abc.com;91;First-line manager;
Joshua;B@abc.com;57;Top manager;
Olivia;E@abc.com;64;Middle manager;
Emma;B@abc.com;83;Top manager;
Paul;A@abc.com;84;Middle manager;
Isabella;A@abc.com;99;Top manager;
Richard;F@abc.com;23;First-line manager;
Matthew;C@abc.com;81;Middle manager;
Isabella;E@abc.com;9;First-line manager;
Alex;F@abc.com;10;First-line manager;
Alex;C@abc.com;27;First-line manager;
Olivia;E@abc.com;9;Top manager;
Isabella;A@abc.com;77;Top manager;
Mia;C@abc.com;57;First-line manager;
Joshua;D@abc.com;48;First-line manager;
Emma;B@abc.com;64;Top manager;
Isabella;C@abc.com;92;Middle manager;
Richard;A@abc.com;28;Top manager;
Paul;E@abc.com;10;Top manager;
Matthew;C@abc.com;72;First-line manager;
Mia;A@abc.com;91;First-line manager;
Isabella;D@abc.com;31;Top manager;
Alex;E@abc.com;29;Middle manager;
Isabella;B@abc.com;43;First-line manager;
Richard;D@abc.com;36;Middle manager;
Olivia;F@abc.com;26;Top manager;
Olivia;F@abc.com;50;Middle manager;
Paul;C@abc.com;32;Top manager;
Emma;D@abc.com;25;First-line manager;
